date,Hole Depth (MD) m,Bit Depth (MD) m,Block Position m,Mud Flow In L/min,Average Standpipe Pressure kPa,Average Hookload kkgf,Average Surface Torque kN.m,Average Rotary Speed rpm,Weight on Bit kkgf,Rate of Penetration m/h
2007-10-23 08:19:00,1372.279704,1372.17983,12.53749987,3516.112487,17151.49956,124.2575169,9.839999256,128.75,1.208363724,32.7501504
2007-10-23 08:19:04,1372.305307,1372.305307,12.50999982,3516.185057,17070.99991,123.9618,9.709999364,128.5,1.504081455,32.7501504
2007-10-23 08:19:08,1372.331368,1372.233707,12.47749984,3516.037597,16996.75026,123.9108149,9.799999915,128.25,1.552517975,32.7501504
2007-10-23 08:19:12,1372.370534,1372.271838,12.4324997,3515.930053,17068.74962,124.2677139,10.14250055,129,1.190518833,32.6781414
2007-10-23 08:19:16,1372.383641,1372.199951,12.40999997,3516.260008,17205.99976,124.5583368,10.18000043,129,0.907547614,32.6541384
2007-10-23 08:19:20,1372.445515,1372.373382,12.38666687,3516.211668,17148.33273,124.1963367,9.628333476,129.1666667,1.26954653,32.6541384
2007-10-23 08:19:24,1372.463803,1372.26001,12.3500004,3515.96997,17011.99951,123.569211,9.550000643,130,1.896672001,32.6541384
2007-10-23 08:19:28,1372.520496,1372.415278,12.30500003,3515.96997,17025.50011,123.9745474,9.955000071,130,1.483687035,32.6680068
2007-10-23 08:19:32,1372.549147,1372.439552,12.27500032,3515.96997,17134.99986,124.6832499,9.722500344,130,0.780082942,32.709612
2007-10-23 08:19:36,1372.600354,1372.485175,12.23999968,3515.96997,17130.99938,124.591473,9.135000023,130.75,0.874406682,32.709612
2007-10-23 08:19:40,1372.625652,1372.625652,12.20499988,3515.96997,17097.49985,124.4257687,8.905000082,130,1.040110665,32.709612
2007-10-23 08:19:44,1372.651103,1372.553304,12.1700003,3515.894959,17094.50036,124.3237987,9.000000213,129,1.139533009,32.6148192
2007-10-23 08:19:48,1372.68966,1372.586369,12.13250008,3515.70746,17142.49993,124.3110554,9.582499939,129,1.147180577,32.5200264
2007-10-23 08:19:52,1372.702766,1372.48999,12.10999966,3515.820068,17128.99933,124.5481378,9.799999915,129,0.91774437,32.5200264
2007-10-23 08:19:56,1372.764438,1372.685945,12.07666658,3515.944986,17061.5003,124.3696855,9.621666694,129,1.089396953,32.5200264
2007-10-23 08:20:00,1372.782319,1372.569946,12.02999971,3515.96997,17088.00049,124.7010968,9.250000162,129,0.764787127,32.5200264
